Stock,Weight
ADANIENT.NS,0.036210972155615306
ADANIPORTS.NS,0.0052607785701681686
APOLLOHOSP.NS,0.04183532189318012
ASIANPAINT.NS,0.0050029826101071284
AXISBANK.NS,0.01628320121723372
BAJAJ-AUTO.NS,0.00733920923103381
BAJAJFINSV.NS,0.0003318750359127138
BAJFINANCE.NS,0.02097854752506448
BHARTIARTL.NS,0.010691166690943998
BPCL.NS,0.004726600224151371
BRITANNIA.NS,0.030422235693707687
CIPLA.NS,0.02099650779835048
COALINDIA.NS,0.02271573771584447
DIVISLAB.NS,0.029801471813219245
DRREDDY.NS,0.015403887150429865
EICHERMOT.NS,0.028742600671995258
GRASIM.NS,0.00805904758330989
HCLTECH.NS,0.04061022845641998
HDFCBANK.NS,0.033717180406781996
HDFCLIFE.NS,0.0012115996499766951
HEROMOTOCO.NS,0.017637469109612187
HINDALCO.NS,0.039830814733660326
HINDUNILVR.NS,0.006426376271296179
ICICIBANK.NS,0.02959675745681447
ICICIPRULI.NS,0.00029370091731589895
INDUSINDBK.NS,0.006897290264882668
INFY.NS,0.018026264581810888
ITC.NS,0.03716924723930756
JSWSTEEL.NS,0.040791870624978376
KOTAKBANK.NS,0.014326792416223297
LT.NS,0.039248545676943435
LTIM.NS,0.023398818847095375
M&M.NS,0.04665602102601635
MARUTI.NS,0.0027972890013250006
NESTLEIND.NS,0.024324136840537677
NTPC.NS,0.004554066620054702
ONGC.NS,0.03771748661119801
POWERGRID.NS,0.03563676532048673
RELIANCE.NS,0.01170795831602363
SBILIFE.NS,0.0023314635835189135
SBIN.NS,0.020559466713611408
SHREECEM.NS,0.022414778296882033
SUNPHARMA.NS,0.0038562290912469996
TATACONSUM.NS,0.0206608396834225
TATAMOTORS.NS,0.023591056509071884
TCS.NS,0.02163929649002773
TECHM.NS,0.010138322809675842
TITAN.NS,0.02863925150458392
ULTRACEMCO.NS,0.020984295246716057
WIPRO.NS,0.007806176102213621
