,2595
ADANIENT.NS,0.02111944055615202
ADANIPORTS.NS,0.029169345912284754
APOLLOHOSP.NS,0.040647244828415634
ASIANPAINT.NS,0.005781724745722733
AXISBANK.NS,0.0193796663281084
BAJAJ-AUTO.NS,0.032759710701716384
BAJAJFINSV.NS,0.025169246361467973
BAJFINANCE.NS,0.031961120734707436
BHARTIARTL.NS,0.0364796413488943
BPCL.NS,0.007532870815756658
BRITANNIA.NS,0.007134246435996598
CIPLA.NS,0.02638757075282865
COALINDIA.NS,0.0170470458852231
DIVISLAB.NS,0.03668827412194624
DRREDDY.NS,0.02614556924889428
EICHERMOT.NS,0.025960090802468402
GRASIM.NS,0.03559289952579456
HCLTECH.NS,0.030724964293470148
HDFCBANK.NS,0.005235710307238084
HDFCLIFE.NS,0.0009862606079558583
HEROMOTOCO.NS,0.015576522125245108
HINDALCO.NS,0.02374468805558026
HINDUNILVR.NS,0.0048539195107596585
ICICIBANK.NS,0.02922273946697893
ICICIPRULI.NS,0.0015136164908954909
INDUSINDBK.NS,0.006572707264068779
INFY.NS,0.03272121095966692
ITC.NS,0.03370388069726638
JSWSTEEL.NS,0.009608386870499861
KOTAKBANK.NS,0.008144347185916861
LT.NS,0.005595943617171345
LTIM.NS,0.023895983379932952
M&M.NS,0.03614707622353341
MARUTI.NS,0.008777026436752804
NESTLEIND.NS,0.021564048188512864
NTPC.NS,0.038915843858481694
ONGC.NS,0.014326257361190782
POWERGRID.NS,0.01934880584087248
RELIANCE.NS,0.013747829292273897
SBILIFE.NS,0.0062330385249277686
SBIN.NS,0.030295497567996592
SHREECEM.NS,0.016919686419711782
SUNPHARMA.NS,0.03897206967951206
TATACONSUM.NS,0.009293202494624453
TATAMOTORS.NS,0.02576626285740993
TCS.NS,0.009192589505043364
TECHM.NS,0.03102572823735724
TITAN.NS,0.009707293161841778
ULTRACEMCO.NS,0.006502798705360159
WIPRO.NS,0.006208355705572112
